Pos_D,Neg_D,Pos_var,Neg_var,Capacity,Stability
-10.29423,-10.3098,0.36592,0.27136,224.2,0.75
-10.29423,-10.88714,0.36592,0.22075,265.4,0.82
-10.29423,-11.26269,0.36592,0.6555,18.4,0.55
-10.29423,-10.4343,0.36592,0.25055,65.6,0.7
-10.29423,-11.29965,0.36592,0.60348,68.5,0.31
-10.29423,-10.67776,0.36592,0.4461,239.6,0.45
-11.10325,-10.88714,0.57935,0.22075,150.2,0.27
-11.10325,-10.3098,0.57935,0.27136,168.9,0.59
-11.10325,-10.4343,0.57935,0.25055,23.3,0.42
-11.10325,-11.26269,0.57935,0.6555,77.6,0.63
-11.10325,-10.67776,0.57935,0.4461,51.4,0.44
-11.10325,-11.29965,0.57935,0.60348,72,0.6
-10.1911,-10.3098,0.53158,0.27136,153.2,0.55
-10.1911,-10.88714,0.53158,0.22075,159.5,0.68
-10.1911,-11.26269,0.53158,0.6555,23.2,0.14
-10.1911,-10.4343,0.53158,0.25055,52.6,0.5
-10.1911,-11.29965,0.53158,0.60348,109.1,0.26
-10.1911,-10.67776,0.53158,0.4461,158.2,0.42
-11.48469,-10.88714,0.46507,0.22075,26.2,0.61
-11.48469,-10.3098,0.46507,0.27136,57.2,0.66
-11.48469,-10.4343,0.46507,0.25055,8.2,0.46
-11.48469,-11.26269,0.46507,0.6555,14.6,0.67
-11.48469,-10.67776,0.46507,0.4461,31.2,0.47
-11.48469,-11.29965,0.46507,0.60348,63.4,0.63
-10.40576,-10.3098,0.48468,0.27136,71.8,0.85
-10.40576,-10.88714,0.48468,0.22075,126.2,0.9
-10.40576,-11.26269,0.48468,0.6555,20.1,0.35
-10.40576,-10.4343,0.48468,0.25055,43.1,0.88
-10.40576,-11.29965,0.48468,0.60348,53.9,0.34
-10.40576,-10.67776,0.48468,0.4461,75.1,0.8
